A,B,X,arch,ETL,HTL,Predicted_PCE,egitim_kayit_sayisi
MA0.9_Cs0.1,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,14.487702807130008,916
FA0.83_Cs0.17,Pb,I0.6_Br0.4,nip,PCBM_60,PTAA,14.417122021565111,6
FA0.83_Cs0.17,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,PTAA,14.41640026529889,263
Cs0.2_FA0.8,Pb,I,nip,PCBM_60,Spiro_MeOTAD,14.412526655016896,68
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.411630848871312,5986
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,14.407480971950784,10
FA0.85_MA0.15,Pb0.5_Sn0.5,I,pin,PCBM_60,PTAA,14.400238004347784,61
Cs0.2_FA0.8,Pb,I0.6_Br0.4,nip,PCBM_60,PTAA,14.378036968123258,6
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.37776585524317,15
FA0.83_Cs0.17,Pb,I,nip,PCBM_60,Spiro_MeOTAD,14.368588496031444,68
MA,Pb,I0.83_Br0.17,pin,PCBM_60,PTAA,14.366650693697064,61
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,14.363951758709884,10
MA0.9_Cs0.1,Pb,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.353465071737602,15
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,pin,PCBM_60,PTAA,14.35033843724604,61
Cs0.2_FA0.8,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,PTAA,14.349757116111656,263
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,14.34528847866144,916
FA,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,14.343048201546214,10
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,14.31831782289765,916
MA0.9_Cs0.1,Pb,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.298993679097912,5986
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,pin,PCBM_60,PTAA,14.287184609789565,61
FA,Pb,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,14.272648470122224,916
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,PTAA,14.26833102710328,51
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.263726090733329,5986
MA0.9_Cs0.1,Pb,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.260724363180891,15
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,nip,PCBM_60,PTAA,14.258331801147763,6
MA0.9_Cs0.1,Pb,I,nip,TiO2_c___TiO2_mp,PTAA,14.252228370557647,263
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,PCBM_60,PTAA,14.222658094978032,6
FA0.85_MA0.15,Pb0.5_Sn0.5,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.21487952581584,15
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,pin,PCBM_60,PTAA,14.212731149255534,61
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,PTAA,14.203812616474362,51
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,PTAA,14.20010643404972,51
FA0.83_Cs0.17,Pb,I0.6_Br0.4,nip,PCBM_60,Spiro_MeOTAD,14.15620009663987,68
